date,taylor_shock
2005-03-31,-0.2407386467500919
2005-06-30,-0.021205106185064857
2005-09-30,0.14220702662929682
2005-12-31,0.028825367420101028
2006-03-31,0.36465519320701484
2006-06-30,0.49818248427144524
2006-09-30,-0.05109851256418066
2006-12-31,0.2883487747050935
2007-03-31,0.19056388662125037
2007-06-30,0.029391875379215084
2007-09-30,0.29975618515411995
2007-12-31,0.0422507201875271
2008-03-31,-0.09400450448453945
2008-06-30,0.1741500304821949
2008-09-30,0.380164183327929
2008-12-31,-0.08626465657299354
2009-03-31,-0.07620659253631246
2009-06-30,-1.6207366546567037
2009-09-30,-0.9833856082439405
2009-12-31,1.0435971644426725
2010-03-31,-0.15836793973282656
2010-06-30,0.02451564684941196
2010-09-30,0.6121109777238466
2010-12-31,-0.0726082879997384
2011-03-31,-0.05251275548425183
2011-06-30,0.31310464916776065
2011-09-30,-0.4475101276566913
2011-12-31,-0.11470273296021291
2012-03-31,-0.047509033911474624
2012-06-30,0.06400515955583061
2012-09-30,-0.06445694575078562
2012-12-31,0.2267006411849957
2013-03-31,0.02288845442664902
2013-06-30,0.07601159385822662
2013-09-30,-0.0491732853246892
2013-12-31,0.06423150392506127
2014-03-31,-0.1291261273135531
2014-06-30,0.023116955044304967
2014-09-30,-0.26657064575618217
2014-12-31,0.034119442863069505
2015-03-31,-0.31987265036017454
2015-06-30,-0.08673118195728077
2015-09-30,-0.062306055697628954
2015-12-31,0.048718097156201956
2016-03-31,0.28063645545459104
2016-06-30,-0.14814431694926997
2016-09-30,0.0089436694487979
2016-12-31,-0.03179225959715801
2017-03-31,-0.26616637486865546
2017-06-30,0.24113708236241516
2017-09-30,-0.330510032323571
2017-12-31,0.19453154729514388
2018-03-31,-0.24755287115933344
2018-06-30,0.1007605620463074
2018-09-30,-0.007160677959172055
2018-12-31,-0.05901130390517442
2019-03-31,-0.18788789430317607
2019-06-30,-0.05109680579585699
2019-09-30,-0.21955334364853252
2019-12-31,-0.28147616399357156
2020-03-31,0.6026497727591777
2020-06-30,-0.6026497727591775
2020-09-30,0.3344354046296546
2020-12-31,-0.31456057914692215
2021-03-31,-0.556574558667573
2021-06-30,-0.38306764446658426
2021-09-30,-0.5002106225606091
2021-12-31,0.531703274014466
2022-03-31,0.1224097725985398
2022-06-30,0.043808535169018725
2022-09-30,0.23493520886636254
2022-12-31,-0.03425600673646012
2023-03-31,0.03047002368288526
2023-06-30,0.07788200084384447
2023-09-30,0.29984340037245805
2023-12-31,-0.0052694385261893295
2024-03-31,-0.11758835633951303
2024-06-30,0.3455104042802186
2024-09-30,0.3166215424351748
2024-12-31,0.12725774390334788
2025-03-31,0.045177283975820326
2025-06-30,0.22701152572107303
2025-09-30,0.2322758521633146
