CODIGO,NIVEL_DE_DESAGREGACION,PONDERACION
043101,PRODUCTOS Y MATERIALES PARA EL MANTENIMIENTO Y CONSERVACIÓN DE LA VIVIENDA,0.020
043200,SERVICIOS PARA LA CONSERVACIÓN Y LA REPARACIÓN DE LA VIVIENDA,0.013
043201,SERVICIOS PARA LA CONSERVACIÓN REPARACIÓN Y SEGURIDAD DE LA VIVIENDA,0.013
044000,SUMINISTRO DE AGUA Y SERVICIOS DIVERSOS RELACIONADOS CON LA VIVIENDA,2.364
044100,SUMINISTRO DE AGUA,1.373
044101,SUMINISTRO DE AGUA POR RED PUBLICA Y OTROS,1.373
044200,RECOGIDA DE BASURAS,0.132
044201,RECOGIDA Y ELIMINACIÓN DE BASURAS,0.132
044400,OTROS SERVICIOS RELACIONADOS CON LA VIVIENDA N.E.P.,0.859
044401,GASTO DE COPROPIEDAD EN CONSERVACIÓN DE LA VIVIENDA,0.859
045000,ELECTRICIDAD GAS Y OTROS COMBUSTIBLES,3.707
045100,CONSUMO DE ELECTRICIDAD RESIDENCIAL Y ALUMBRADO PÚBLICO,2.621
045101,ELECTRICIDAD,2.621
045200,GAS,1.069
045201,GAS DOMÉSTICO,0.835
045202,GAS NATURAL,0.234
045400,COMBUSTIBLES SÓLIDOS,0.017
045401,COMBUSTIBLES SÓLIDOS,0.017
050000,MUEBLES ARTÍCULOS PARA EL HOGAR Y PARA LA CONSERVACIÓN ORDINARIA DEL HOGAR,5.106
051000,MUEBLES Y ACCESORIOS ALFOMBRAS Y OTROS MATERIALES PARA PISOS,0.491
051100,MUEBLES Y ACCESORIOS,0.491
051101,MUEBLES DE USO DOMESTICO,0.491
052000,PRODUCTOS TEXTILES PARA EL HOGAR,0.173
052100,PRODUCTOS TEXTILES PARA EL HOGAR,0.173
052101,TELAS PARA MUEBLES Y MATERIAL PARA CORTINAS,0.021
052102,ROPA DE CAMA,0.152
053000,ARTEFACTOS PARA EL HOGAR,0.480
053100,ARTEFACTOS PARA HOGAR GRANDES ELÉCTRICOS O NO,0.407
053101,APARATOS PARA COCINAR Y REFRIGERAR ALIMENTOS,0.216
053102,APARATOS PARA LAVAR Y LIMPIAR,0.130
053103,OTROS ARTEFACTOS PARA EL HOGAR GRANDES ELÉCTRICOS O NO,0.061
053200,ARTEFACTOS ELÉCTRICOS PEQUEÑOS PARA EL HOGAR,0.051
053201,ARTEFACTOS ELÉCTRICOS PEQUEÑOS PARA EL HOGAR,0.051
053300,REPARACIÓN DE ARTEFACTOS PARA EL HOGAR,0.022
053301,REPARACIÓN Y ACCESORIOS DE ARTEFACTOS PARA EL HOGAR,0.022
054000,ARTÍCULOS DE VIDRIO Y CRISTAL VAJILLA Y UTENSILIOS PARA EL HOGAR,0.100
054100,ARTÍCULOS DE VIDRIO Y CRISTAL VAJILLA Y UTENSILIOS PARA EL HOGAR,0.100
054101,ARTÍCULOS DE VIDRIO Y CRISTAL VAJILLA Y UTENSILIOS PARA EL HOGAR,0.100
055000,HERRAMIENTAS Y EQUIPO PARA EL HOGAR Y EL JARDÍN,0.297
055200,HERRAMIENTAS PEQUEÑAS Y ACCESORIOS DIVERSOS,0.297
055201,HERRAMIENTAS PEQUEÑAS Y ACCESORIOS DIVERSOS,0.297
056000,BIENES Y SERVICIOS PARA CONSERVACIÓN ORDINARIA DEL HOGAR,3.565
056100,BIENES PARA EL HOGAR NO DURADEROS,1.319
056101,PRODUCTOS Y ARTÍCULOS DE LIMPIEZA Y CONSERVACIÓN,1.319
056200,SERVICIOS DOMÉSTICOS Y PARA EL HOGAR,2.245
056201,SERVICIOS DOMÉSTICOS Y PARA EL HOGAR,2.245
060000,SALUD,3.484
061000,PRODUCTOS ARTEFACTOS Y EQUIPO MÉDICOS,2.001
061100,PRODUCTOS FARMACÉUTICOS,1.777
061101,MEDICAMENTOS,1.617
061102,MEDICAMENTOS MEDICINA ALTERNATIVA,0.160
061200,OTROS PRODUCTOS MÉDICOS,0.053
061201,APARATOS Y PRODUCTOS MÉDICOS,0.053
061300,ARTEFACTOS Y EQUIPO TERAPÉUTICOS,0.171
061301,CORRECTORES Y EQUIPOS TERAPÉUTICOS,0.140
061302,PRÓTESIS Y ORTESIS,0.030
062000,SERVICIOS MÉDICOS,0.789
062100,SERVICIOS MÉDICOS,0.251
062101,SERVICIOS MÉDICOS,0.251
062200,SERVICIOS DENTALES,0.248
062201,SERVICIOS DENTALES,0.248
062300,SERVICIOS DE LABORATORIOS Y RADIOGRÁFICOS,0.290
062301,SERVICIOS DE LABORATORIOS Y RADIOGRÁFICOS,0.246
062302,SERVICIOS MÉDICOS AUXILIARES Y MEDICINA TRADICIONAL,0.044
063000,SERVICIOS EN HOSPITAL CLÍNICA Y CENTROS MÉDICOS,0.695
063100,SERVICIOS EN HOSPITAL CLÍNICA Y CENTROS MÉDICOS,0.695
063101,SERVICIOS EN HOSPITAL CLÍNICA Y CENTROS MÉDICOS,0.695
070000,TRANSPORTE,12.397
071000,ADQUISICIÓN DE VEHÍCULOS,1.679
071100,VEHÍCULOS A MOTOR,1.612
071101,VEHÍCULOS A MOTOR,1.612
071200,MOTOCICLETAS,0.041
071201,MOTOS Y MOTOCICLETAS DE TODO TIPO,0.041
071300,BICICLETAS,0.026
071301,BICICLETAS Y TRICICLOS DE TODO TIPO,0.026
072000,FUNCIONAMIENTO DE EQUIPO DE TRANSPORTE PERSONAL,1.570
072100,PIEZAS DE REPUESTO Y ACCESORIOS PARA EQUIPO DE TRANSPORTE PERSONAL,0.077
072101,PIEZAS DE REPUESTO Y ACCESORIOS PARA EQUIPO DE TRANSPORTE PERSONAL,0.077
072200,COMBUSTIBLES Y LUBRICANTES PARA EQUIPO DE TRANSPORTE PERSONAL,1.062
072201,COMBUSTIBLES Y LUBRICANTES PARA VEHÍCULOS,1.062
072300,CONSERVACIÓN Y REPARACIÓN DE EQUIPO DE TRANSPORTE PERSONAL,0.275
072301,CONSERVACIÓN Y REPARACIÓN DE EQUIPO DE TRANSPORTE PERSONAL,0.275
072400,OTROS SERVICIOS RELATIVOS AL EQUIPO DE TRANSPORTE PERSONAL,0.157
072401,OTROS SERVICIOS RELATIVOS AL EQUIPO DE TRANSPORTE PERSONAL,0.157
073000,SERVICIOS DE TRANSPORTE,9.147
073200,TRANSPORTE DE PASAJEROS POR CARRETERA,8.352
073201,TRANSPORTE TERRESTRE NACIONAL,0.268
073203,TRANSPORTE LOCAL (URBANO E INTERURBANO),8.084
073300,TRANSPORTE DE PASAJEROS POR AIRE,0.784
073301,TRANSPORTE AÉREO NACIONAL,0.235
073302,TRANSPORTE AÉREO INTERNACIONAL,0.549
073600,OTROS SERVICIOS DE TRANSPORTE ADQUIRIDO,0.011
